ID,Number,IU,Speaker,Gender,Item,Vowel,Duration_IU_s,Syllables_IU,Speech_Rate,Frequency,ACC,BI,Prox,Duration_ms,Annotator_1_Duration,Annotator_2_Duration
179,39,it`s ^what they call *[\ail@]* 'tests#,<1_5_B>,female,test,DRESS,1.46,6,4.11,5.06,SEC,4,0,165.0,164.9,165.1
180,40,^then there`s an 'oper\ation 'test#,<1_5_B>,female,test,DRESS,1.40,8,5.69,5.06,SEC,4,0,162.5,159.9,165.1
181,41,"^so it`s per""!haps 'his ""!pr\/evious _flat#",<1_6_A>,female,flat,CAT,1.69,9,5.33,4.99,SEC,4,0,159.6,159.1,160.1
182,42,^Pete was 'one of 'those who came :b\ack with th/at 'lot#,<1_10_A>,female,lot,LOT,1.74,11,6.31,5.98,SEC,4,0,121.6,126.3,116.8
183,43,^just for !f\un#,<1_4_B>,male,just,STRUT,0.87,3,3.46,6.55,SEC,1,2,122.0,116.8,127.1
184,44,^v\/ery 'much#,<1_6_B>,male,much,STRUT,0.54,3,5.58,6.11,SEC,4,0,117.2,137.2,97.2
185,45, I ^mixed it with M\/ike`s#,<1_7_A>,male,mix,KIT,1.10,5,4.57,4.70,SEC,1,3,68.9,65.9,71.9
186,46,he ^more or !less !s\aid 'this#,<1_6_B>,male,this,KIT,1.36,6,4.41,6.89,SEC,4,0,209.5,216.8,202.2
187,47,^Molly sent !some of these !b\ags 'back# .,<1_7_A>,male,back,CAT,1.55,7,4.52,6.25,SEC,4,0,192.8,194.0,191.6
188,48,and I ^think !Sall`s . started !b\/uying ((it)) as a re'sult of 'that#,<1_7_A>,male,that,CAT,2.42,15,6.20,7.19,SEC,4,0,112.5,113.8,111.2
189,49,^s\/ome* 'Irish 'chaps#,<1_7_A>,male,chap,CAT,0.78,4,5.10,4.29,SEC,4,0,115.4,117.2,113.6
190,50,and do you ^know it 'costs a 'penny {m/\ore than} G\/uinness#,<1_7_A>,male,cost,LOT,1.52,12,7.88,5.17,SEC,1,7,65.7,66.2,65.1
191,51,*but it would ^look 'quite 'nice on the :w\/all#,<1_4_A>,male,look,PUT,1.75,9,5.14,6.23,SEC,1,5,93.9,94.7,93.1
192,52,be^cause of that 'marvellous w\ater they`ve 'got#,<1_7_A>,male,got,LOT,1.59,11,6.92,6.47,SEC,4,0,130.9,145.4,116.3
193,53, I ^took some 'down to* ((to)) :D\/ick`s#,<1_7_A>,male,took/take,PUT,0.92,5,5.45,6.08,SEC,1,6,63.2,62.4,64.0
194,54,I ^must !s\ay#,<1_7_A>,male,must,STRUT,0.58,3,5.21,5.67,SEC,1,1,61.6,56.7,66.4
195,55,"^is there !such a th/ing as a ""G\uinness 'kit#",<1_7_A>,male,such,STRUT,1.46,10,6.86,5.50,SEC,1,7,31.4,31.1,31.8
196,56,"^is there !such a th/ing as a ""G\uinness 'kit#",<1_7_A>,male,kit,KIT,1.46,10,6.86,4.44,SEC,4,0,165.4,163.4,167.3
197,57,(coughs . ) and you ^follow ((the of)) ^course it`s 'like :\/all these 'kits#,<1_7_A>,male,kit,KIT,1.66,12,7.21,4.44,SEC,4,0,53.6,53.8,53.3
198,58,or ^is it univ\ersity 'stuff# .,<1_7_A>,male,stuff,STRUT,1.06,9,8.47,5.39,SEC,4,0,124.1,125.2,123.0
199,59, is ^{r\eally 'got} !b\ared a 'lot#,<1_7_A>,male,lot,LOT,1.31,7,5.34,5.98,SEC,4,0,154.9,158.9,150.8
200,60,"our ""^h\ousekeeper`s 'left#",<1_8_B>,female,left,DRESS,1.17,5,4.27,5.66,SEC,4,0,179.9,180.2,179.6
